Rank;Altleta;Pais;Round1;Round2;RoundTotal;Dez;X;Nove;WorldRanking;Prop.Dez;Prop.X;Prop.Nove;Finalista;PontosCombates
1;KIM Woojin;Korea;348;352;700;52;26;20;273250;0,72;0,36;0,25;1;0
2;ELLISON Brady;USA;342;348;690;44;19;27;214500;0,61;0,26;0,34;1;175
3;PASQUALUCCI David;Italy;337;348;685;40;11;29;101250;0,56;0,15;0,36;0;0
4;VAN DEN BERG Sjef;Netherlands;347;337;684;42;11;24;217700;0,58;0,15;0,30;1;163
5;DAS Atanu;India;337;346;683;39;17;29;118750;0,54;0,24;0,36;1;175
6;KU Bonchan;Korea;341;340;681;36;16;33;234900;0,50;0,22;0,41;1;172
7;FURUKAWA Takaharu;Japan;340;340;680;38;13;29;126250;0,53;0,18;0,36;0;159
8;VALLADONT Jean-Charles;France;338;342;680;36;11;31;219750;0,50;0,15;0,39;0;160
9;WEI Chun-Heng;Chinese Taipei;339;340;679;38;13;27;168750;0,53;0,18;0,34;1;0
10;RODRIGUEZ Juan I.;Spain;342;336;678;39;12;27;99500;0,54;0,17;0,34;0;176
11;FLOTO Florian;Germany;338;339;677;34;15;35;57000;0,47;0,21;0,44;0;173
12;LEE Seungyun;Korea;337;339;676;35;8;31;204500;0,49;0,11;0,39;1;171
13;SOTO Ricardo;Chile;332;343;675;36;8;30;43223;0,50;0,11;0,38;0;164
14;WORTH Taylor;Australia;340;334;674;39;19;29;136700;0,54;0,26;0,36;1;168
15;GARRETT Zach;USA;336;338;674;38;18;24;224500;0,53;0,25;0,30;1;172
16;NESPOLI Mauro;Italy;338;333;671;33;8;29;166250;0,46;0,11;0,36;1;168
17;GU Xuesong;PR China;336;334;670;35;11;26;87750;0,49;0,15;0,33;0;0
18;DUENAS Crispin;Canada;339;330;669;33;11;29;126000;0,46;0,15;0,36;0;0
19;WANG Dapeng;PR China;329;338;667;29;9;34;40500;0,40;0,13;0,43;0;0
20;POTTS Alec;Australia;329;337;666;37;13;21;44200;0,51;0,18;0,26;0;0
21;DANIEL Lucas;France;330;336;666;24;5;43;111275;0,33;0,07;0,54;0;0
22;MOHAMAD Khairul Anuar;Malaysia;335;330;665;33;14;31;82250;0,46;0,19;0,39;0;0
23;TYACK Ryan;Australia;330;335;665;29;9;33;63775;0,40;0,13;0,41;0;0
24;JANTSAN Gantugs;Mongolia;334;330;664;33;12;28;43200;0,46;0,17;0,35;0;0
25;RUBAN Viktor;Ukraine;337;326;663;31;9;27;89750;0,43;0,13;0,34;0;0
26;NESTENG Baard;Norway;330;333;663;30;10;28;69000;0,42;0,14;0,35;0;0
27;VAN DER VEN Rick;Netherlands;334;329;663;28;7;32;211000;0,39;0,10;0,40;0;0
28;BOARDMAN Ernesto;Mexico;331;331;662;25;9;37;136250;0,35;0,13;0,46;1;0
29;GAZOZ Mete;Turkey;337;324;661;31;9;28;148000;0,43;0,13;0,35;0;0
30;KAO Hao-Wen;Chinese Taipei;329;332;661;25;12;34;97875;0,35;0,17;0,43;0;0
31;KAMINSKI Jake;USA;333;327;660;30;7;27;108450;0,42;0,10;0,34;0;0
32;XING Yu;PR China;328;332;660;28;10;30;153900;0,39;0,14;0,38;0;0
33;EGA AGATHA Riau;Indonesia;330;330;660;26;7;33;101000;0,36;0,10;0,41;0;165
34;D’ALMEIDA Marcus;Brazil;324;334;658;24;6;34;135000;0,33;0,08;0,43;0;0
35;FERNANDEZ Antonio;Spain;329;328;657;32;15;27;112400;0,44;0,21;0,34;0;166
36;PLIHON Pierre;France;332;325;657;24;7;36;80775;0,33;0,10;0,45;0;0
37;PUENTES Adrian;Cuba;334;322;656;27;10;28;39300;0,38;0,14;0,35;0;0
38;HUSTON Patrick;Great Britain;327;329;656;22;4;38;89000;0,31;0,06;0,48;0;0
39;YU Guan-Lin;Chinese Taipei;330;325;655;22;7;39;66150;0,31;0,10;0,49;0;0
40;PURNAMA Hendra;Indonesia;328;327;655;22;7;37;47700;0,31;0,10;0,46;0;0
41;THAMWONG Witthaya;Thailand;330;325;655;21;11;39;45400;0,29;0,15;0,49;0;168
42;RAMAEKERS Robin;Belgium;332;322;654;25;13;34;48000;0,35;0,18;0,43;0;0
43;PILA Andres;Colombia;325;329;654;25;9;34;55700;0,35;0,13;0,43;0;0
44;ALVARINO GARCIA Miguel;Spain;322;329;651;27;12;33;168875;0,38;0,17;0,41;0;0
45;OLIVEIRA Bernardo;Brazil;324;327;651;24;11;30;46850;0,33;0,15;0,38;0;0
46;MALAVE Elias;Venezuela;325;326;651;23;11;33;90000;0,32;0,15;0,41;0;0
47;GALIAZZO Marco;Italy;332;319;651;21;4;36;0;0,29;0,06;0,45;0;0
48;DUZELBAYEV Sultan;Kazakhstan;332;316;648;29;9;23;38900;0,40;0,13;0,29;0;0
49;WIJAYA Muhammad;Indonesia;327;320;647;23;9;30;23325;0,32;0,13;0,38;0;0
50;KAMARUDDIN Haziq;Malaysia;316;329;645;23;12;31;46450;0,32;0,17;0,39;0;0
51;EL-NEMR Ahmed;Egypt;321;323;644;20;5;33;32000;0,28;0,07;0,41;0;0
52;PRILEPOV Anton;Belarus;318;325;643;22;6;28;131900;0,31;0,08;0,35;0;0
53;REZENDE XAVIER Daniel;Brazil;318;321;639;19;6;31;43200;0,26;0,08;0,39;0;0
54;PIIPPO Samuli;Finland;317;319;636;19;6;30;58000;0,26;0,08;0,38;0;0
55;NOR HASRIN Muhammad Akmal;Malaysia;314;321;635;19;6;30;18950;0,26;0,08;0,38;0;0
56;ELDER Robert;Fiji;313;322;635;19;2;33;24650;0,26;0,03;0,41;0;0
57;KOUASSI Rene Philippe;Cote d Ivoire;315;319;634;22;8;25;13800;0,31;0,11;0,31;0;0
58;DIELEMANS Mitch;Netherlands;310;324;634;20;5;33;69900;0,28;0,07;0,41;0;0
59;BALAZ Boris;Slovakia;320;311;631;18;4;27;24200;0,25;0,06;0,34;0;0
60;MUKTAN Jitbahadur;Nepal;299;308;607;12;4;25;0;0,17;0,06;0,31;0;0
61;JENSEN Arne;Tonga;300;304;604;11;3;26;0;0,15;0,04;0,33;0;0
62;DAVID Areneo;Malawi;292;311;603;17;3;17;0;0,24;0,04;0,21;0;0
63;EL GHRARI Ali;Libya;286;282;568;11;3;21;0;0,15;0,04;0,26;0;0
64;SUTHERLAND Gavin;Zimbabwe;279;287;566;7;0;14;29000;0,10;0,00;0,18;0;0
